"method","rep","sd1","sd2","n1","delta","n2","p","width"
"Student",78,1,2,2,0,18,0.507052902516072,5.93531955265168
"Welch",78,1,2,2,0,18,0.0548029403461916,1.95628568572198
"Student",79,1,2,2,0,18,0.823740894206051,6.25188858709469
"Welch",79,1,2,2,0,18,0.563443575525011,2.50900969122766
"Student",80,1,2,2,0,18,0.753317533833668,6.9193644924414
"Welch",80,1,2,2,0,18,0.353610009429278,2.31889067239397
"Student",81,1,2,2,0,18,0.996441335463951,7.21748292237478
"Welch",81,1,2,2,0,18,0.991188647317892,3.17624742181489
"Student",82,1,2,2,0,18,0.75822353959292,5.73566614236889
"Welch",82,1,2,2,0,18,0.613256573023702,5.46795443712602
"Student",83,1,2,2,0,18,0.771310288940691,5.28521763946039
"Welch",83,1,2,2,0,18,0.684064832365294,7.20202323423845
"Student",84,1,2,2,0,18,0.773449812270379,6.91961110161569
"Welch",84,1,2,2,0,18,0.382102267273783,2.26273389361811
"Student",85,1,2,2,0,18,0.567231629048106,5.29926609579869
"Welch",85,1,2,2,0,18,0.547228607269312,11.8350983532053
"Student",86,1,2,2,0,18,0.69954005132204,5.65107651862352
"Welch",86,1,2,2,0,18,0.545943642564578,5.78007905727587
"Student",87,1,2,2,0,18,0.548145765749851,7.94374386006909
"Welch",87,1,2,2,0,18,0.29205613832173,5.67862437856395
"Student",88,1,2,2,0,18,0.778061712519481,5.47856605093518
"Welch",88,1,2,2,0,18,0.820553814599188,22.5487889823531
"Student",89,1,2,2,0,18,0.962283238590899,6.09347682695485
"Welch",89,1,2,2,0,18,0.956383354590578,13.0938973390179
"Student",90,1,2,2,0,18,0.478454987448445,7.54726616229829
"Welch",90,1,2,2,0,18,0.178177561063667,4.39541054050076
"Student",91,1,2,2,0,18,0.113176921444528,4.91315390428523
"Welch",91,1,2,2,0,18,0.272957324810906,16.1018949194753
"Student",92,1,2,2,0,18,0.375187553232653,3.76020583493627
"Welch",92,1,2,2,0,18,0.0906745548196234,2.0046284914058
"Student",93,1,2,2,0,18,0.952755005724167,8.03935254603096
"Welch",93,1,2,2,0,18,0.874700454160023,3.13385999292116
"Student",94,1,2,2,0,18,0.937763493412466,5.70016751706091
"Welch",94,1,2,2,0,18,0.833529553027752,2.18241228135561
"Student",95,1,2,2,0,18,0.929024670622685,7.00081163882919
"Welch",95,1,2,2,0,18,0.806553857935086,2.5968766090984
"Student",96,1,2,2,0,18,0.529191083278889,5.74367340652267
"Welch",96,1,2,2,0,18,0.326789950359564,5.15841263894323
"Student",97,1,2,2,0,18,0.509546186481761,5.94342079350162
"Welch",97,1,2,2,0,18,0.368109800300304,7.01493853455227
"Student",98,1,2,2,0,18,0.685228993821172,5.90133785834426
"Welch",98,1,2,2,0,18,0.694109917988375,16.7031343255952
"Student",99,1,2,2,0,18,0.651435570073641,4.92046495137561
"Welch",99,1,2,2,0,18,0.190506470146359,1.66197764338335
"Student",100,1,2,2,0,18,0.799927240676662,7.68834582201832
"Welch",100,1,2,2,0,18,0.713766476256072,9.87157684448709
"Student",1,1,3,2,0,18,0.850976054212054,8.21127551739474
"Welch",1,1,3,2,0,18,0.767325939577931,8.93659359053686
"Student",2,1,3,2,0,18,0.980515317535886,7.4462167540062
"Welch",2,1,3,2,0,18,0.943107277364113,2.5526371549841
"Student",3,1,3,2,0,18,0.79422874296077,9.25298623235785
"Welch",3,1,3,2,0,18,0.431595881530468,3.04802003655479
"Student",4,1,3,2,0,18,0.939831423690604,9.57716918459585
"Welch",4,1,3,2,0,18,0.842526309329993,3.79773808995479
"Student",5,1,3,2,0,18,0.676336650881451,8.02147313146357
"Welch",5,1,3,2,0,18,0.543674688609331,9.48584047626017
"Student",6,1,3,2,0,18,0.970833667799535,7.31623959624894
"Welch",6,1,3,2,0,18,0.953305406616449,7.86664190069716
"Student",7,1,3,2,0,18,0.330384837487196,7.93726902370955
"Welch",7,1,3,2,0,18,0.0400289475277086,3.55291517218971
"Student",8,1,3,2,0,18,0.766015180245715,8.42953108853575
"Welch",8,1,3,2,0,18,0.374413948399839,2.79690548799573
"Student",9,1,3,2,0,18,0.949251625127967,9.90779375325142
"Welch",9,1,3,2,0,18,0.917052963690399,10.143305544789
"Student",10,1,3,2,0,18,0.726952098211249,6.71027668622833
"Welch",10,1,3,2,0,18,0.562894767563095,6.16232484677532
"Student",11,1,3,2,0,18,0.664919705909421,9.54647695052859
